ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,car_name,price (AUD),type_of_engine,engine_capacity,normalised_engine_capacity,normalised_num_of_doors,normalised_seating_capacity,normalised_fuel_consumption,normalised_price (AUD)
3513805,imported,new car,suv,0,silver,gray,5,7,Petrol	1.5 L,nan,manual,fwd - front-wheel drive,,mitsubishi,xpander,2023.0,Mitsubishi Xpander 1.5 MT 2023,22469.68566,petrol,1.5,0.1111111111111111,0.09259259259259259,0.14893617021276595,,0.010277777722030755
3513847,imported,new car,4x4,0,white,gray,4,5,Diesel	2.8 L,nan,automatic,4wd - four-wheel drive (4wd),,toyota,hilux,2022.0,Toyota Hilux 2.8L 4x4 AT 2022,36963.64506,diesel,2.8,0.21428571428571427,0.07407407407407407,0.10638297872340426,,0.01690740735213035
3518405,domestic assembly,new car,crossover,0,green,black,5,5,Petrol	1.6 L,nan,automatic,fwd - front-wheel drive,8.0,peugeot,3008,2023.0,Peugeot 3008 AL 2023,40485.92011,petrol,1.6,0.11904761904761905,0.09259259259259259,0.10638297872340426,4e-05,0.01851851846348343
3518482,domestic assembly,new car,crossover,0,grey,black,5,5,Petrol	1.6 L,nan,automatic,fwd - front-wheel drive,8.0,peugeot,3008,2023.0,Peugeot 3008 AL 2023,40485.92011,petrol,1.6,0.11904761904761905,0.09259259259259259,0.10638297872340426,4e-05,0.01851851846348343
3518555,domestic assembly,new car,crossover,0,black,black,5,5,Petrol	1.6 L,nan,automatic,fwd - front-wheel drive,8.0,peugeot,3008,2023.0,Peugeot 3008 AL 2023,40485.92011,petrol,1.6,0.11904761904761905,0.09259259259259259,0.10638297872340426,4e-05,0.01851851846348343
3518565,domestic assembly,new car,crossover,0,green,black,5,5,Petrol	1.6 L,nan,automatic,fwd - front-wheel drive,8.0,peugeot,3008,2023.0,Peugeot 3008 AL 2023,40485.92011,petrol,1.6,0.11904761904761905,0.09259259259259259,0.10638297872340426,4e-05,0.01851851846348343
3518570,domestic assembly,new car,crossover,0,white,black,5,5,Petrol	1.6 L,nan,automatic,fwd - front-wheel drive,8.0,peugeot,3008,2023.0,Peugeot 3008 AL 2023,40485.92011,petrol,1.6,0.11904761904761905,0.09259259259259259,0.10638297872340426,4e-05,0.01851851846348343
3518582,domestic assembly,new car,crossover,0,green,black,5,5,Petrol	1.6 L,nan,automatic,fwd - front-wheel drive,8.0,peugeot,3008,2023.0,Peugeot 3008 AL 2023,40485.92011,petrol,1.6,0.11904761904761905,0.09259259259259259,0.10638297872340426,4e-05,0.01851851846348343
3518786,domestic assembly,new car,crossover,0,grey,brown,5,5,Petrol	1.6 L,nan,automatic,fwd - front-wheel drive,8.0,peugeot,3008,2023.0,Peugeot 3008 GT 2023,40485.92011,petrol,1.6,0.11904761904761905,0.09259259259259259,0.10638297872340426,4e-05,0.01851851846348343
3518829,domestic assembly,new car,suv,0,red,black,5,7,Petrol	1.6 L,nan,automatic,fwd - front-wheel drive,8.0,peugeot,5008,2023.0,Peugeot 5008 AL 1.6 AT 2023,40485.92011,petrol,1.6,0.11904761904761905,0.09259259259259259,0.14893617021276595,4e-05,0.01851851846348343
3518841,domestic assembly,new car,suv,0,black,black,5,7,Petrol	1.6 L,nan,automatic,fwd - front-wheel drive,8.0,peugeot,5008,2023.0,Peugeot 5008 AL 1.6 AT 2023,40485.92011,petrol,1.6,0.11904761904761905,0.09259259259259259,0.14893617021276595,4e-05,0.01851851846348343
3518849,domestic assembly,new car,suv,0,orange,black,5,7,Petrol	1.6 L,nan,automatic,fwd - front-wheel drive,8.0,peugeot,5008,2023.0,Peugeot 5008 AL 1.6 AT 2023,40485.92011,petrol,1.6,0.11904761904761905,0.09259259259259259,0.14893617021276595,4e-05,0.01851851846348343
3518859,domestic assembly,new car,suv,0,green,different color,5,7,Petrol	1.6 L,nan,automatic,fwd - front-wheel drive,8.0,peugeot,5008,2023.0,Peugeot 5008 GT 1.6 AT 2023,40485.92011,petrol,1.6,0.11904761904761905,0.09259259259259259,0.14893617021276595,4e-05,0.01851851846348343
3518983,domestic assembly,new car,crossover,0,white,black,5,5,Petrol	1.6 L,nan,automatic,fwd - front-wheel drive,8.0,peugeot,3008,2023.0,Peugeot 3008 AL 2023,40485.92011,petrol,1.6,0.11904761904761905,0.09259259259259259,0.10638297872340426,4e-05,0.01851851846348343
3520124,domestic assembly,new car,hatchback,0,yellow,black,5,5,Petrol	1.25 L,nan,automatic,fwd - front-wheel drive,,kia,morning,2022.0,Kia Morning X-Line 2022 car,17773.31893,petrol,1.25,0.09126984126984126,0.09259259259259259,0.10638297872340426,,0.008129629575084663
3526696,domestic assembly,new car,hatchback,0,white,black,5,5,Petrol	1.25 L,nan,automatic,fwd - front-wheel drive,,kia,morning,2022.0,Kia Morning GT-Line 2022,17975.74853,petrol,1.25,0.09126984126984126,0.09259259259259259,0.10638297872340426,,0.008222222167428284
3528023,domestic assembly,new car,suv,0,red,black,5,5,Petrol	2.0 L,nan,automatic,fwd - front-wheel drive,,mazda,cx5,2022.0,Mazda CX5 Deluxe 2022 car,30728.81337,petrol,2.0,0.15079365079365079,0.09259259259259259,0.10638297872340426,,0.014055555503372723
